idx,age-bin,employment-type,education-num,occupation,race,sex,weekly-hours-bin,compensation
107,8,2,8,6,4,1,4,1
108,2,1,9,10,4,0,1,0
109,4,1,8,5,4,0,2,0
110,7,1,4,4,4,1,4,0
111,8,2,9,10,4,1,4,0
112,7,0,10,1,2,1,2,1
113,8,1,9,10,4,1,5,0
114,1,1,8,1,4,1,3,0
115,1,1,9,6,4,0,2,0
116,5,1,12,2,4,1,5,0
117,3,1,12,2,2,1,2,0
118,3,0,12,8,4,1,4,1
119,0,1,9,6,2,1,2,0
120,6,1,12,2,4,0,2,1
121,0,1,9,0,4,0,1,0
122,3,1,11,0,4,1,2,1
123,4,1,9,1,4,1,2,0
124,2,1,11,10,4,0,5,0
125,1,1,8,6,4,0,2,0
126,4,2,8,1,4,1,2,0
127,4,1,12,10,4,1,4,0
128,6,1,11,11,2,0,2,0
129,4,0,13,8,4,1,2,1
130,5,2,8,1,4,1,5,0
131,2,1,10,0,4,0,2,0
132,0,1,9,10,4,1,0,0
133,7,1,9,1,1,1,2,1
134,8,2,8,1,4,1,2,0
135,2,1,9,10,4,0,2,0
136,0,1,9,6,4,1,1,0
137,6,1,10,8,4,0,2,1
138,10,1,9,11,4,1,2,0
139,3,1,8,12,2,0,1,0
140,1,1,9,6,4,1,1,0
141,4,1,8,6,4,0,1,0
142,9,1,6,1,4,1,2,0
143,6,0,9,0,4,0,2,0
144,3,1,8,0,4,0,2,0
145,3,1,12,2,1,0,2,0
146,1,1,8,1,4,1,2,0
147,7,1,8,1,4,1,4,0
148,1,1,12,4,4,1,2,0
149,10,2,9,10,2,1,0,0
150,3,1,8,1,4,1,5,0
151,5,1,12,6,2,1,4,0
152,2,1,8,6,4,0,2,0
153,6,2,13,2,1,0,2,0
154,2,1,8,2,1,0,2,0
155,6,2,13,10,4,1,2,1
156,4,1,9,6,4,0,2,0
157,4,0,11,2,4,1,3,0
158,6,0,13,9,4,1,2,0
159,0,1,6,4,4,1,0,0
160,9,0,10,8,4,0,0,0
161,2,1,8,6,4,1,2,0
162,2,0,8,9,4,1,2,0
163,7,1,9,10,4,1,2,1
164,2,1,12,1,4,1,4,0
165,2,0,12,8,4,1,2,1
166,2,1,8,10,4,0,1,0
167,1,1,8,1,2,1,2,0
168,3,1,8,4,2,1,2,0
169,0,1,8,6,4,1,0,0
170,3,1,12,8,4,1,6,0
171,6,0,9,2,2,1,2,1
172,5,1,9,0,4,0,2,0
173,3,1,9,1,2,1,3,0
174,5,1,3,5,4,1,2,1
175,4,0,9,0,4,1,3,1
176,3,1,8,0,2,1,2,0
177,5,2,12,2,4,0,2,0
178,3,1,13,8,4,0,4,0
179,8,0,15,8,4,1,0,1
180,4,1,9,5,2,0,1,0
181,1,1,9,5,4,1,2,0
182,5,0,12,1,2,1,2,0
183,6,1,9,11,4,1,3,0
184,5,0,12,11,4,1,1,0
185,1,1,2,12,4,1,2,0
186,4,1,9,1,4,1,2,0
187,5,0,13,2,4,0,5,1
188,3,1,13,8,4,1,2,1
189,1,2,8,10,4,1,2,0
190,2,1,13,8,4,0,2,0
191,7,1,12,2,4,1,4,1
192,5,0,9,8,4,0,2,0
193,4,0,8,0,4,0,2,0
194,0,1,6,10,4,0,2,0
195,4,1,12,6,2,1,2,1
196,3,1,8,1,4,1,5,0
197,8,2,8,10,4,0,2,1
198,0,1,6,10,4,0,0,0
199,6,0,8,12,2,1,2,0
200,4,1,8,1,4,1,2,1
201,3,1,9,10,0,0,2,0
202,8,1,8,1,1,1,2,0
203,8,2,3,5,4,1,2,1
204,4,1,12,2,2,1,5,1
205,7,1,11,10,4,0,2,0
206,4,1,12,10,4,1,4,0
207,6,1,12,8,4,1,5,0
208,2,1,5,1,4,1,2,0
209,3,1,9,4,4,1,2,0
210,10,1,8,6,2,1,2,0
211,8,1,8,0,2,1,0,0
212,7,0,0,5,4,0,2,0
213,0,1,8,10,4,0,2,0
214,9,2,8,3,4,1,4,0
215,10,1,10,0,4,0,0,0
216,9,1,8,0,4,0,2,0
217,3,1,6,12,2,1,2,0
218,5,1,8,10,2,0,2,0
219,2,1,9,0,4,1,3,0
220,3,1,9,1,3,0,2,0
221,2,1,14,8,4,1,5,1
222,8,0,8,6,4,1,2,0
223,5,0,9,0,4,0,2,0
224,5,1,12,2,4,1,4,1
225,4,0,13,2,4,1,6,1
226,1,1,8,12,4,1,2,0
227,5,1,12,8,4,1,2,1
228,5,2,8,6,4,0,0,0
229,1,0,11,9,4,1,4,0
230,4,1,9,1,4,1,2,0
231,8,1,8,0,4,1,2,0
232,8,1,8,0,4,1,3,1
233,3,1,8,6,4,0,2,0
234,5,1,11,11,4,1,5,1
235,6,1,8,0,4,1,2,0
236,5,1,14,8,4,0,2,1
237,5,1,12,0,2,0,2,0
238,8,0,5,6,2,0,1,0
239,0,0,9,0,4,1,2,0
240,8,1,9,12,4,1,0,0
241,5,2,8,3,1,1,2,1
242,0,1,8,6,4,0,2,0
243,3,1,8,6,4,0,1,0
244,6,1,10,2,4,0,3,0
245,7,1,3,1,4,1,2,0
246,4,1,12,8,4,0,2,0
247,6,1,8,10,4,1,5,0
248,0,1,6,6,4,1,0,0
249,8,1,9,10,4,1,2,0
250,2,1,6,1,4,1,2,0
251,4,2,9,2,1,1,7,1
252,9,1,8,2,4,1,2,1
253,3,1,12,8,4,0,3,0
254,3,1,8,1,4,0,2,1
255,8,1,8,2,4,1,2,1
256,0,1,4,6,4,1,1,0
257,7,2,13,3,4,1,7,0
258,2,0,13,8,4,1,2,0
259,3,1,8,8,4,0,2,0
260,5,1,8,4,2,1,2,0
261,6,1,9,1,4,1,2,1
262,3,1,9,2,4,0,2,0
263,2,1,9,11,4,0,2,0
264,1,1,9,5,4,0,4,1
265,1,1,12,8,4,0,0,0
266,5,0,9,1,4,1,2,1
267,3,1,11,10,2,0,3,0
268,8,1,12,8,4,0,3,0
269,1,1,8,4,4,1,2,0
270,8,0,13,10,4,1,2,1
271,5,1,14,8,4,1,5,1
272,7,1,9,6,4,1,3,0
273,2,1,12,2,4,0,2,0
274,7,1,3,1,4,1,2,0
275,4,1,12,8,4,1,3,0
276,3,1,8,8,4,0,2,0
277,3,0,12,9,4,1,5,0
278,1,1,9,10,4,1,3,0
279,2,1,12,11,2,0,2,0
280,9,1,8,12,4,1,0,0
281,4,2,12,10,4,0,5,0
282,1,1,8,1,4,1,2,0
283,4,1,8,10,4,1,7,0
284,7,1,12,0,4,1,2,1
285,1,1,9,6,1,0,1,0
286,3,1,8,12,4,1,3,1
287,8,1,8,10,4,1,2,1
288,1,1,9,0,1,0,2,0
289,5,1,8,0,4,0,2,0
290,2,1,11,11,4,1,3,0
291,6,1,11,8,4,0,2,0
292,3,1,11,0,4,1,2,1
293,5,2,9,3,4,1,5,1
294,2,1,12,10,4,1,2,0
295,3,1,13,2,1,1,2,1
296,4,2,12,8,2,0,2,1
297,1,1,9,10,4,1,0,0
298,1,1,9,5,4,1,2,0
299,10,2,9,10,4,1,2,0
300,1,1,2,5,4,0,2,0
301,3,1,9,11,4,0,2,0
302,8,1,8,6,4,0,1,0
303,4,2,8,2,4,1,2,0
304,5,1,9,1,4,1,4,0
305,3,1,8,12,4,1,3,0
306,3,1,6,2,4,0,2,0
307,10,2,13,1,4,1,0,0
308,9,2,8,3,4,1,3,0
309,5,1,9,8,4,0,4,1
310,8,2,8,4,4,1,2,0
311,9,1,8,12,4,1,5,0
312,5,1,9,1,2,1,3,0
313,2,1,12,0,4,1,2,0
314,6,1,10,6,4,1,2,0
315,8,0,5,0,4,1,2,0
316,7,1,8,12,4,1,2,0
317,0,1,2,6,4,1,4,0
318,3,1,8,1,4,1,2,0
319,7,1,13,8,4,1,5,0
320,0,1,8,10,2,1,1,0
321,6,1,8,6,2,1,2,0
322,2,1,11,10,4,1,2,0
323,4,1,10,1,4,1,2,1
324,4,0,8,9,4,1,2,1
325,3,1,8,3,4,1,0,0
326,1,0,9,9,2,0,2,0
327,5,2,12,10,4,1,3,0
328,8,1,11,6,4,1,1,0
329,3,1,12,8,4,1,1,0
330,3,1,12,2,4,1,2,1
331,2,1,8,6,4,1,2,0
332,3,1,12,2,4,1,2,1
333,6,0,6,12,4,1,1,0
334,4,0,8,0,4,1,2,1
335,9,1,6,6,3,1,2,0
336,5,1,10,11,4,1,2,1
337,5,1,8,0,4,0,2,0
338,2,2,4,1,4,1,2,0
339,4,1,5,6,4,0,1,0
340,8,1,13,8,4,1,2,1
341,5,1,12,12,4,1,3,0
342,5,1,12,2,4,1,3,1
343,1,1,8,10,4,1,5,0
344,2,1,8,1,4,1,2,0
345,8,2,9,10,4,1,3,0
346,1,1,11,10,4,0,0,0
347,8,1,12,2,4,0,3,1
348,4,1,8,10,4,0,2,0
349,2,0,9,0,4,0,0,0
350,0,1,6,6,4,1,0,0
351,5,0,10,5,4,1,2,1
352,6,1,8,5,2,1,2,0
353,6,1,8,1,2,1,2,0
354,0,0,9,0,4,0,0,0
355,3,1,8,1,4,0,2,0
356,1,1,9,10,4,1,2,0
357,6,2,13,2,4,1,1,0
358,4,1,8,10,4,1,4,0
359,8,1,8,12,4,1,2,0
360,6,1,2,1,4,0,3,0
361,2,1,9,1,4,1,2,0
362,6,1,9,10,4,0,2,0
363,4,0,9,12,4,0,2,0
364,1,1,8,6,4,0,1,0
365,3,1,8,5,4,1,2,0
366,6,1,9,0,4,0,0,1
367,0,1,9,0,4,0,0,0
368,0,1,8,6,4,0,2,0
369,3,1,8,6,4,0,2,1
370,2,1,12,1,4,1,4,0
371,6,2,11,1,4,1,2,0
372,3,0,12,2,4,1,3,1
373,3,1,8,6,4,0,2,0
374,6,1,9,11,4,1,2,0
375,6,1,9,4,4,0,2,0
376,2,1,12,2,4,1,5,1
377,7,2,12,2,4,1,4,1
378,0,1,9,4,4,1,2,0
379,2,1,9,6,4,0,2,0
380,7,0,12,9,4,1,2,1
381,3,1,10,11,4,0,6,0
382,2,1,3,4,3,1,2,0
383,5,1,13,2,4,1,6,1
384,2,1,8,0,4,1,2,0
385,6,2,8,1,4,1,1,0
386,3,1,9,2,4,1,4,0
387,5,0,9,6,2,0,1,0
388,1,1,8,4,2,0,2,0
389,3,1,9,2,4,0,2,0
390,6,1,15,2,4,1,5,1
391,3,0,9,5,4,1,2,0
392,3,1,7,1,4,1,4,1
393,7,1,1,5,4,1,2,0
394,3,1,6,6,4,0,0,0
395,3,0,6,5,2,1,2,0
396,3,0,8,12,4,0,2,0
397,0,1,9,10,4,1,1,0
398,0,1,6,4,4,1,0,0
399,3,0,12,2,4,0,2,1
400,3,1,8,3,4,1,2,0
401,3,1,5,1,4,0,2,0
402,2,1,8,12,4,1,5,0
403,4,0,13,8,4,1,2,0
404,1,1,8,4,4,1,7,0
405,9,2,8,2,4,1,2,1
406,6,0,13,8,4,1,2,0
407,5,2,12,8,4,0,2,0
408,3,1,11,6,4,0,1,1
409,2,1,9,1,1,1,2,0
410,3,1,13,8,4,1,4,1
411,3,0,8,3,2,1,5,0
412,3,0,9,9,4,0,2,0
413,1,1,9,0,4,1,2,0
414,5,0,9,0,4,0,2,0
415,3,1,12,8,4,1,2,0
416,6,1,8,0,4,0,1,0
417,1,0,8,9,4,1,2,0
418,6,1,9,8,4,1,2,1
419,2,1,4,1,4,1,2,0
420,0,1,9,10,4,1,2,0
421,6,1,8,2,2,0,2,0
422,7,1,8,1,0,1,2,0
423,0,1,8,5,4,1,2,0
424,0,1,8,5,2,0,2,0
425,6,2,9,1,4,1,5,1
426,8,1,8,1,4,1,2,1
427,5,1,11,2,2,1,2,1
428,6,2,8,10,4,0,2,1
429,5,1,10,5,1,1,2,1
430,3,1,8,2,4,0,2,0
431,4,1,9,12,2,1,4,0
432,1,1,8,12,4,1,5,0
433,6,1,11,3,4,1,2,0
434,8,0,8,12,2,1,2,0
435,3,1,12,8,4,1,4,0
436,7,1,1,1,4,1,2,0
437,1,1,12,11,4,0,0,0
438,4,1,8,0,4,0,5,0
439,7,1,8,12,4,1,2,0
440,4,1,9,12,4,1,2,0
441,7,1,13,2,4,1,3,1
442,3,1,12,11,4,0,0,1
443,8,1,9,8,4,1,2,1
444,3,1,8,1,4,1,2,0
445,3,1,8,12,4,1,5,0
446,9,1,10,6,4,0,1,0
447,6,1,12,1,4,0,2,0
448,0,1,4,6,4,1,0,0
449,1,1,9,4,4,1,1,0
450,2,1,5,6,4,1,2,0
451,1,1,8,6,4,0,2,0
452,3,1,11,1,4,1,3,0
453,5,2,9,1,4,1,0,0
454,2,0,12,8,4,1,0,0
455,5,1,8,1,4,0,2,0
456,2,1,9,0,2,0,0,0
457,8,0,8,12,4,1,3,0
458,6,0,12,8,4,0,2,0
459,4,1,12,10,4,1,5,1
460,5,1,8,6,4,0,2,0
461,6,0,8,0,4,1,2,0
462,3,1,11,2,4,0,5,0
463,3,1,8,8,4,0,1,0
464,3,1,12,1,4,1,0,0
465,5,1,8,0,4,0,2,0
466,0,1,9,5,4,1,2,0
467,1,1,2,6,4,1,2,0
468,2,1,9,8,4,0,2,0
469,1,0,8,3,4,1,2,0
470,8,0,8,12,4,1,2,0
471,7,1,9,0,4,1,2,0
472,8,1,9,6,4,0,3,0
473,2,1,12,10,4,0,2,0
474,1,1,12,2,2,1,2,0
475,0,1,9,9,4,1,0,0
476,5,1,9,2,4,1,2,0
477,6,0,8,0,2,0,2,0
478,4,1,8,6,4,0,2,0
479,7,1,10,4,4,1,3,0
480,3,1,10,1,4,1,3,0
481,3,1,9,8,4,1,4,1
482,2,1,8,1,4,1,3,0
483,2,1,9,0,0,0,0,0
484,3,1,12,8,4,1,4,1
485,4,2,12,2,4,1,7,1
486,7,1,8,2,4,1,4,1
487,1,0,9,4,2,1,4,0
488,4,0,9,11,4,1,3,1
489,6,1,9,5,4,1,5,1
490,2,1,9,10,4,0,2,0
491,5,1,12,2,4,1,2,1
492,10,1,9,0,4,0,0,0
493,4,2,8,1,4,1,4,0
494,6,2,13,8,4,1,2,0
495,6,1,6,5,3,0,4,0
496,2,1,8,5,4,1,2,0
497,4,1,8,6,2,1,2,0
498,5,1,11,2,4,0,4,1
499,9,1,14,8,4,1,4,1
500,4,0,7,11,4,1,4,0
501,8,1,1,7,2,0,1,0
502,3,1,10,1,4,1,2,0
503,3,2,12,3,4,0,3,0
504,6,1,9,12,4,1,2,0
505,3,1,15,8,4,1,2,0
506,3,1,9,4,4,0,2,0
507,2,1,8,12,4,1,2,0
508,2,1,9,10,4,1,4,0
509,3,1,8,4,4,0,3,0
510,8,1,5,6,4,0,0,0
511,3,0,9,9,4,1,2,0
512,1,1,8,4,4,1,2,0
513,2,1,9,1,4,1,2,0
514,6,2,9,2,4,1,4,0
515,4,2,8,6,4,0,2,0
516,10,1,6,0,4,0,2,0
517,3,1,8,5,2,0,2,0
518,3,0,10,1,2,0,2,1
519,10,1,6,5,4,0,2,0
520,3,1,8,5,4,1,2,0
521,3,1,8,0,4,0,0,0
522,3,1,8,11,4,0,1,0
523,3,1,6,6,4,1,2,0
524,2,1,12,12,4,1,5,0
525,8,1,12,10,4,1,2,1
526,6,1,9,8,4,1,4,1
527,1,1,8,4,2,0,2,0
528,7,2,12,8,4,1,5,1
529,0,1,8,4,0,1,4,0
530,5,2,13,2,4,1,3,0
531,6,1,3,6,4,0,2,0
532,3,2,8,1,4,1,2,0
533,6,1,13,2,4,1,3,0
534,1,1,8,1,4,1,2,0
535,7,1,8,8,4,1,2,0
536,0,1,6,10,4,1,0,0
537,4,1,10,1,4,1,2,1
538,2,1,15,8,4,0,6,0
539,3,1,12,2,4,1,2,1
540,4,2,11,10,4,0,2,0
541,8,0,12,8,4,0,2,0
542,2,2,9,1,4,1,3,0
543,8,1,8,10,4,1,2,1
544,8,1,8,1,4,1,2,0
545,2,1,8,5,4,1,2,0
546,3,2,12,11,4,1,2,0
547,1,1,9,10,4,0,1,0
548,3,1,9,0,4,1,5,0
549,0,1,6,6,4,1,2,0
550,7,1,5,1,4,1,4,1
551,8,2,12,8,4,1,7,0
552,8,1,3,12,4,1,4,1
553,3,1,12,8,4,1,2,1
554,1,1,12,0,4,0,2,0
555,2,1,8,10,4,1,2,0
556,5,2,14,8,4,1,4,1
557,2,1,9,11,4,1,2,0
558,7,1,12,8,4,0,3,0
559,3,1,12,11,4,1,2,0
560,0,1,9,0,4,1,1,0
561,8,1,3,6,4,0,2,0
562,5,0,4,6,4,1,2,0
563,3,2,11,3,4,1,2,0
564,7,1,8,0,2,0,2,0
565,7,1,13,1,4,1,2,1
566,3,1,8,1,0,1,2,0
567,4,0,8,2,2,1,2,0
568,0,1,5,6,4,0,1,0
569,7,1,13,8,4,0,5,0
570,1,1,8,1,4,1,2,0
571,1,1,8,4,4,1,4,0
572,2,0,12,8,4,1,2,0
573,2,1,12,6,4,0,0,0
574,4,1,8,4,4,1,5,0
575,3,1,8,12,2,1,3,0
576,7,2,8,2,4,1,1,0
577,7,2,12,10,4,1,5,0
578,6,1,14,8,4,1,3,1
579,1,1,12,10,4,0,0,0
580,6,1,6,6,2,0,0,0
581,9,1,4,7,2,0,1,0
582,3,1,10,12,4,1,5,0
583,6,1,4,4,4,1,2,0
584,3,1,8,3,2,1,5,0
585,3,1,8,10,4,1,3,1
586,4,2,8,10,4,1,6,0
587,3,1,9,2,4,1,2,1
588,7,1,12,10,4,1,1,1
589,6,2,9,6,2,0,2,0
590,7,0,5,6,2,0,2,0
591,5,1,9,1,4,1,5,1
592,3,1,12,0,2,0,2,1
593,8,2,8,1,4,1,5,0
594,0,1,8,6,4,0,0,0
595,1,1,12,4,4,1,2,0
596,3,1,12,2,4,1,5,1
597,6,2,2,12,4,1,4,0
598,7,2,15,8,4,1,5,1
599,2,1,8,1,4,1,5,0
600,8,1,8,1,4,1,2,0
601,1,1,9,4,4,1,2,0
602,4,1,9,10,4,1,4,1
603,3,1,9,1,4,1,3,0
604,7,2,15,8,4,1,2,1
605,3,0,8,0,4,0,2,0
606,10,1,8,1,4,1,0,0
607,3,0,12,11,4,1,2,1
608,0,1,9,6,4,1,0,0
609,1,1,8,2,4,1,4,0
610,3,1,15,8,1,1,2,1
611,4,0,9,2,4,0,3,0
612,2,1,8,5,4,0,1,0
613,3,0,9,0,1,0,2,0
614,3,1,8,1,4,1,3,0
615,6,1,3,1,4,1,2,0
616,5,1,8,5,4,1,2,1
617,6,2,7,4,2,1,2,1
618,3,1,13,10,4,1,5,0
619,2,1,9,8,4,1,2,0
620,5,0,13,8,4,1,2,0
621,0,1,9,10,4,0,1,0
622,5,1,11,8,4,0,2,1
623,2,0,9,12,4,1,2,0
624,5,1,8,1,2,1,2,1
625,1,1,4,5,4,1,2,0
626,7,0,9,2,4,1,2,0
627,0,2,6,3,4,1,0,0
628,3,1,12,2,4,1,2,1
629,7,2,8,10,4,1,4,1
630,1,1,8,10,4,0,2,0
631,0,1,7,6,4,1,0,0
632,3,1,9,0,4,1,2,0
633,3,1,8,1,4,1,3,0
634,8,2,8,2,4,1,4,0
635,3,0,8,9,4,1,4,0
636,4,1,10,1,4,1,2,1
637,3,2,8,1,4,1,2,1
638,1,0,9,2,2,1,2,0
639,0,0,6,0,4,0,0,0
640,3,1,8,2,4,0,2,0
641,6,0,12,8,4,0,5,0
642,5,1,13,2,4,1,2,0
643,2,1,8,6,4,1,1,0
644,8,0,9,3,4,1,2,0
645,1,1,9,5,2,0,3,0
646,5,1,9,8,4,1,4,0
647,0,1,9,8,4,1,0,0
648,1,0,12,11,4,0,0,0
649,3,1,13,8,4,1,5,1
650,3,1,13,11,4,1,2,1
651,3,1,12,8,4,0,2,0
652,0,1,8,10,4,0,0,0
653,4,0,12,8,4,1,4,0
654,3,1,12,10,4,0,2,0
655,1,1,9,4,4,1,1,0
656,3,2,9,1,4,1,2,0
657,6,1,15,8,4,0,6,1
658,6,1,12,2,4,0,4,1
659,5,1,7,6,2,1,2,0
660,6,1,9,10,2,1,2,0
661,8,1,8,1,4,1,2,0
662,0,1,6,6,4,1,1,0
663,2,1,12,8,4,1,2,0
664,4,1,9,0,2,0,2,0
665,4,1,12,8,4,1,2,0
666,5,1,10,11,4,1,2,0
667,4,0,12,0,4,0,2,0
668,3,1,8,6,2,0,2,0
669,3,1,8,5,4,1,2,0
670,0,0,8,11,4,0,2,0
671,1,1,9,10,4,0,0,0
672,3,1,12,2,4,1,3,1
673,3,1,8,6,4,1,2,0
674,5,1,8,1,4,1,5,0
675,3,1,12,8,4,1,2,0
676,7,0,8,2,4,1,3,1
677,5,1,12,2,4,1,3,1
678,5,1,12,8,4,1,2,1
679,6,1,8,10,4,0,2,0
680,0,1,9,6,4,0,0,0
681,3,1,8,6,4,1,2,0
682,9,2,6,2,4,1,5,1
683,1,1,9,6,4,0,1,0
684,8,1,9,0,1,0,2,0
685,2,1,10,0,4,1,3,0
686,2,1,10,6,4,0,0,0
687,3,1,9,1,4,1,2,0
688,4,1,9,10,2,0,2,0
689,5,0,12,8,4,1,4,0
690,8,1,8,6,2,0,0,0
691,5,1,12,11,4,1,2,1
692,0,1,9,6,4,0,1,0
693,8,2,8,12,4,1,7,0
694,5,1,13,2,4,0,4,1
695,2,1,10,11,4,1,2,0
696,0,1,7,4,4,1,0,0
697,5,0,12,8,4,0,2,1
698,8,1,8,12,4,1,2,1
699,3,1,9,0,2,0,2,0
700,3,1,6,1,2,1,2,0
701,6,0,12,8,4,1,2,0
702,3,0,12,2,4,1,2,1
703,1,1,12,8,4,1,0,0
704,8,2,5,1,4,1,2,0
705,1,1,8,12,4,1,4,0
706,4,1,8,4,4,1,2,0
707,2,1,10,1,4,1,2,0
708,8,1,8,12,4,1,2,1
709,3,0,12,8,4,0,3,0
710,6,0,8,0,4,0,2,1
711,4,1,8,3,2,1,2,0
712,4,1,8,6,4,0,0,0
713,8,0,8,0,4,0,2,1
714,3,0,8,9,4,1,2,0
715,7,2,15,2,4,1,6,1
716,7,1,12,10,4,1,5,1
717,3,1,5,6,4,0,3,0
718,3,0,9,6,4,1,2,0
719,1,1,9,10,4,0,1,0
720,6,2,12,10,4,0,4,0
721,3,1,8,5,4,1,2,0
722,2,1,9,3,4,0,2,0
723,4,1,2,3,4,1,1,0
724,3,1,8,1,4,1,5,0
725,4,1,10,11,4,0,1,1
726,8,1,8,10,4,1,2,0
727,1,0,10,11,4,1,5,0
728,4,1,9,0,4,0,2,0
729,3,1,13,8,4,1,2,0
730,5,1,12,10,4,1,4,1
731,8,1,9,11,4,1,2,0
732,5,0,9,1,4,1,2,0
733,2,1,10,5,4,0,3,0
734,5,1,10,2,4,1,4,1
735,5,2,9,2,4,1,5,0
736,5,1,12,10,3,0,5,1
737,5,1,9,0,2,0,2,0
738,8,2,8,3,4,1,4,0
739,0,1,7,5,4,1,1,0
740,7,1,10,11,4,1,4,1
741,5,2,12,11,4,1,2,0
742,1,1,8,10,4,0,2,0
743,8,1,8,12,4,1,5,1
744,1,1,9,6,2,1,0,0
745,8,1,8,5,4,1,2,0
746,2,1,8,5,2,1,2,0
747,6,1,13,11,4,1,2,1
748,5,1,12,2,4,1,2,1
749,5,1,11,1,4,1,2,0
750,1,1,8,6,2,1,1,0
751,10,2,6,3,4,1,0,0
752,3,1,8,0,4,0,2,0
753,0,1,6,10,4,0,0,0
754,3,1,8,1,4,1,4,1
755,3,1,12,8,4,1,4,1
756,9,1,12,8,4,1,2,1
757,0,1,8,12,4,1,1,0
758,3,1,8,6,4,0,2,0
759,5,1,9,2,4,1,3,0
760,1,1,9,0,4,1,2,0
761,0,1,5,3,4,1,0,0
762,6,2,8,6,4,0,7,0
763,5,1,10,8,4,0,5,0
764,8,1,9,1,4,1,4,1
765,9,1,8,12,4,1,3,0
766,6,1,8,12,4,1,4,1
767,7,1,10,0,4,1,2,0
768,3,1,13,8,4,0,4,0
769,3,1,10,11,4,1,2,0
770,3,1,8,0,4,0,2,0
771,3,1,8,2,4,1,5,0
772,8,1,8,12,4,1,3,1
